Company Name,Skills,Experience,Location,More Info
East India Securities Ltd.,"python,hadoop,machinelearning",2 - 5 yrs,Kolkata,https://www.timesjobs.com/job-detail/python-engineer-east-india-securities-ltd-kolkata-2-to-5-yrs-jobid-KEkE19WqPbFzpSvf__PLUS__uAgZw==&source=srp
Dreamajax Technologies,"python,django,api,sql,nosql",4 - 7 yrs,Bengaluru / Bangalore,https://www.timesjobs.com/job-detail/python-developer-dreamajax-technologies-bengaluru-bangalore-4-to-7-yrs-jobid-EWIVCDzRLKBzpSvf__PLUS__uAgZw==&source=srp
Infinity Group,"python,css,django,html,bootstrap",2 - 5 yrs,Noida/Greater Noida,https://www.timesjobs.com/job-detail/python-developer-infinity-group-noida-greater-noida-2-to-5-yrs-jobid-efOg3e9X__SLASH__D9zpSvf__PLUS__uAgZw==&source=srp
Innovator Web Solutions Pvt.Ltd.,"rest,python,django,webdeveloper,mysql,api",5 - 8 yrs,Mumbai,https://www.timesjobs.com/job-detail/python-developer-innovator-web-solutions-pvt-ltd-mumbai-5-to-8-yrs-jobid-OO__SLASH__Qb2Q7MfpzpSvf__PLUS__uAgZw==&source=srp
Axistechnolabs,"python,django,itskills,html5,api,jquery",0 - 1 yrs,Ahmedabad,https://www.timesjobs.com/job-detail/python-odoo-axistechnolabs-ahmedabad-0-to-1-yrs-jobid-HzL8naalyxFzpSvf__PLUS__uAgZw==&source=srp
Sourcedesk Global Private Limited,"html5,storage,python,javascript,django,infrastructure",3 - 15 yrs,Kolkata,https://www.timesjobs.com/job-detail/python-developer-sourcedesk-global-private-limited-kolkata-3-to-15-yrs-jobid-A27Uf03p2IJzpSvf__PLUS__uAgZw==&source=srp
Connecting 2 Work,"python,storage,django,testingtools,debugging",5 - 10 yrs,Thiruvananthapuram,https://www.timesjobs.com/job-detail/python-developer-connecting-2-work-thiruvananthapuram-5-to-10-yrs-jobid-Tebue__SLASH__8iTzVzpSvf__PLUS__uAgZw==&source=srp
Ivan Infotech Pvt. Ltd.,"rest,python,security,debugging",2 - 5 yrs,Kolkata,https://www.timesjobs.com/job-detail/python-developer-ivan-infotech-pvt-ltd-kolkata-2-to-5-yrs-jobid-1h6sLaqbaBZzpSvf__PLUS__uAgZw==&source=srp
Axistechnolabs,"python,css,userinteraction,bootstrap,openerp,database,xml,oops,html",0 - 1 yrs,Ahmedabad,https://www.timesjobs.com/job-detail/python-developer-axistechnolabs-ahmedabad-0-to-1-yrs-jobid-UqL7KgAUov1zpSvf__PLUS__uAgZw==&source=srp
Nuagebiz.Tech,"python,mobile,teamplayer,svn,security,git,softwareengineering",2 - 5 yrs,Noida/Greater Noida,https://www.timesjobs.com/job-detail/python-developer-nuagebiz-tech-noida-greater-noida-2-to-5-yrs-jobid-FzYRc8JWI0hzpSvf__PLUS__uAgZw==&source=srp
